DBSFG1, 04/13/24,INC,REP,E(WM0106) 00 2022-23 RWADA,F(WM0111) 00 2021 ACTUAL VALUATION/2022-23 RWADA,G(NO0090) 05 TR AR: 1.01-(.46*AV/RWADA WLTH RATIO),H(WM0126) 00 2022-23 RESIDENT PUB+NONPUB ENROLLMENT,I(WM0131) 00 2021 AV/2022-23 RES PUB+NONPUB ENRLMT,J(NO0091) 05 TRANS ENRL AR: 1.01-(.46*EWR),K(WM0184) 05 STATE SHARING RATIO (SSR),L(NO0094) 05 22-23 ENR/SQ MILE,M(NO0095) 05 TRANS SPARSTY ADJ:(21 - 22-23ENR/SQ MI)/317.88,"N(NO0075) 05 24-25 SEL TRANSP AID RATIO,.9 MAX,.065 MIN","O(NO0074) 00 TRANS NON-CAP EXP W/O SUMMR,S.3627FOR 24-25 AID",P(E10074) 00 TRANS SEC 3627 TOTAL EXPENDITURES,Q(E10037) 00 TRANS CAPITAL NEW BUS PURCHASE EXP,R(E10038) 00 TRANS CAPITAL NEW LEASE EXPENDITURE,S(E10036) 00 TRANS CAPITAL NEW EQUIPMENT EXPENDITURE,T(NO0040) 00 SUMMER TRANS NON-CAPITAL EXP FOR 24-25 AID,U(NO0106) 00 2024-25 TRANSP AID ON NON-CAPITAL EXPENDITURES,V(NO0079) 00 2024-25 TRANSP AID ON CAPITAL EXPENDITURES,"W(K20133) 00 2022-23 PUBLIC ENROLLMENT, ATTN, DUPLICATED",X(PK0155) 00 2023-24 MAX TPK AID,Y(PK0151) 00 2023-24 90M FED UPK EXP GRANT,Z(PK0153) 00 2023-24 15M SUFDPK EXP GRANT,AA(PK0162) 00 2023-24 100M UPK EXP GRANT,AB(PK0159) 00 2023-24 25M SUFDPK EXP GRANT,AC(PK0111) 00 2023-24 MAX SUFDPK AID(1415),AD(FL0006) 00 2023-24 MAX UPK AID,AE(CL0014) 00 2023-24 PAYABLE UPK AID,AF(FL0018) 05 3 YR. DIRECT CERTIFICATION AVERAGE
541401,SHARON SPRINGS,1,0,272,"546,657",0.769,238,"624,751",0.700,0.574,4.806,0.050,0.819,"646,329",0,"76,726",0,"1,881",0,"529,343","64,379",248,0,0,0,0,0,0,"41,716","41,716",0.50576
550101,ODESSA MONTOUR,1,0,709,"505,724",0.786,701,"511,496",0.756,0.764,7.507,0.042,0.900,"941,231",0,"244,336",0,"1,128",0,"847,108","220,918",716,0,0,0,0,0,0,"520,017","520,017",0.49593
550301,WATKINS GLEN,1,0,917,"967,987",0.582,845,"1,050,466",0.487,0.487,6.086,0.046,0.661,"859,284",0,"7,293","356,647","27,351",0,"567,987","258,643",871,0,0,0,0,0,"485,056","170,123","170,123",0.45027
560501,SOUTH SENECA,1,0,649,"1,070,796",0.536,663,"1,048,185",0.488,0.473,4.680,0.051,0.648,"1,295,110",0,"418,858",0,"29,725",0,"839,231","290,682",612,0,0,0,0,0,0,"264,261","264,261",0.44221
560603,ROMULUS,1,0,306,"1,321,793",0.425,388,"1,042,445",0.491,0.382,4.620,0.051,0.542,"979,576",0,"122,519",0,0,0,"530,930","66,405",410,0,0,0,0,0,0,"153,536","100,904",0.4531
560701,SENECA FALLS,1,0,"1,237","482,579",0.797,"1,265","471,897",0.775,0.706,20.713,0.000,0.891,"1,941,074",0,"355,261",0,"4,214",0,"1,729,497","320,292","1,212",0,0,"360,000",0,0,0,"410,645","270,849",0.46002
561006,WATERLOO CENT,1,0,"1,436","509,659",0.785,"1,502","487,264",0.768,0.767,16.477,0.014,0.900,"2,672,240",0,"451,147",0,0,"13,848","2,405,016","406,032","1,426",0,0,"360,000",0,0,0,"447,547","447,547",0.50802
570101,ADDISON,1,0,"1,048","425,551",0.822,"1,015","439,386",0.792,0.876,6.055,0.047,0.900,"1,882,792",0,"369,083",0,90,"37,553","1,694,513","332,256","1,011",0,0,0,0,0,0,"798,987","798,987",0.48396
570201,AVOCA,1,0,417,"517,207",0.781,384,"561,654",0.731,0.775,4.158,0.052,0.900,"944,064",0,"248,060",0,"1,373",0,"849,658","224,490",385,0,0,0,0,0,0,"95,540","95,540",0.52783
570302,BATH,1,0,"1,405","387,380",0.839,"1,333","408,304",0.807,0.898,14.450,0.020,0.900,"1,822,116",0,"269,030",0,"14,837","48,503","1,639,904","255,480","1,388",0,0,0,0,0,0,"1,283,076","1,283,076",0.50574
