DBSFI1, 04/13/24,INC,REP,E(NO0708) 00 BLDG LEASE AID,F(NO0709) 00 BLDG AMORT-RETRO AID,G(NO0710) 00 BLDG AMORT-PROSP AID,H(NO0707) 00 BLDG AMORT-CAP OUTLAY AID,I(NO0711) 00 BLDG 2023 DEFERD JULY AID,J(NO0715) 00 BLDG 2022 DEFERD JULY AID,K(NO0712) 00 BLDG NYC UNCONFIRMED  AID,L(NO0713) 00 BLDG REFUND/REFIN AID (A.R.),M(NO0568) 00 BLDG AID ON 3 CAP OUTLAY EXCEPTIONS,"N(NO0572) 00 BLDG AID ON METAL DETECTORS,ETC.",O(NO0569) 00 BLDG EXP FOR BLDG CONDITION SURVEYS,P(NO0570) 05 BLDG CONDITION SURVEY AID RATIO,Q(NO0571) 00 BLDG AID FOR BLDG CONDITION SURVEYS,R(NO0573) 00 BLDG AID DUE SPECIAL LEGISLATION,S(NO0468) 00 CHAPTER 97 POTENTIAL EXPENDITURES,T(NO0540) 00 CHAPTER 97 POTENTIAL AID,U(A10117) 00 -BLDG AID 23-24 DEFERRED TO 2024-25 (NYC),V(A20117) 00 +BLDG AID 22-23 DEFERRED TO 2023-24 (NYC),W(NO0719) 00 REORG INCENTIVE NET EXPENDITURES,X(NO0720) 00 REBL AMORT (PROSP)  EXPENDITURES,Y(NO0721) 00 REBL DEFERRED JULY  EXPENDITURES,Z(NO0723) 00 REORG INCENTIVE NET AID,AA(NO0724) 00 REBL AMORT (PROSP)  AID,AB(NO0725) 00 REBL DEFERRED JULY  AID,AC(FA0153) 00 24-25 BLDG AID DEFERRED TO 7/24,AD(FA0154) 00 23-24 BLDG AID DEFERRED TO 7/23,AE(CL0014) 00 2023-24 PAYABLE UPK AID
121701,STAMFORD,1,0,0,0,"245,732",0,0,0,0,0,0,0,0,0.663,0,0,"241,702","184,419",0,0,0,0,0,0,0,0,0,0,"39,199"
121702,S. KORTRIGHT,1,0,0,0,"799,214",0,0,0,0,0,"73,100",0,0,0.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"56,250"
121901,WALTON,1,0,0,0,"914,025",0,0,0,0,0,"83,800","22,920",0,0.738,0,0,"384,012","321,802",0,0,0,0,0,0,0,0,0,0,"298,435"
130200,BEACON,1,0,0,"1,681,206","1,338,464","5,523",0,0,0,"137,351",0,0,0,0.569,0,0,"778,166","520,593",0,0,"2,280,458","879,954",0,"423,024","147,172",0,0,0,"635,651"
130502,DOVER,1,0,0,0,"282,625",0,0,0,0,0,"314,438",0,0,0.672,0,0,"355,228","274,236",0,0,0,0,0,0,0,0,0,0,"296,536"
130801,HYDE PARK,1,0,0,0,"3,136,293",0,0,0,0,0,"67,700","23,695",0,0.577,0,0,"691,678","468,266",0,0,0,0,0,0,0,0,0,0,0
131101,NORTHEAST,1,0,0,0,"268,062",0,0,0,0,0,0,0,0,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"160,872"
131201,PAWLING,1,0,0,"455,285","634,779",0,0,0,0,0,0,0,0,0.446,0,0,"1,753,467","957,393",0,0,0,0,0,0,0,0,0,0,"64,800"
131301,PINE PLAINS,1,0,0,0,"730,006",0,0,0,0,0,"46,800",0,"26,520",0.368,"9,759",0,0,0,0,0,0,0,0,0,0,0,0,0,"145,800"
131500,POUGHKEEPSIE,1,0,0,0,"1,863,334",0,"5,812","5,812",0,0,"529,200",0,0,0.782,0,0,"4,112,529","3,627,251",0,0,0,0,0,0,0,0,"11,624",0,"796,411"
