DBSFH1, 04/13/24,INC,REP,E(WM0265) 05 2024-25 CURRENT YR BUILDING AID RATIO,F(WE0081) 03 SEL BLDG AID RATIO 23-24 BL AID<7/1/00,G(NO0391) 05 SEL BLDG AID RATIO 24-25 BL AID<7/1/98,H(MA0015) 0A LEGEND FOR CURRENT YEAR BLDG AID,I(NO0396) 05 INCENTIVE DECIMAL FOR EXP>=7/1/98,"J(NO0397) 05 SEL AID RATIO, APPR >= 7/1/98",K(WE0096) 03 SEL BLDG AID RATIO FOR 99-00 BLDG AID,L(NO0400) 05 LOW INCOME BLDG AID RATIO >= 7/1/00,M(NO0402) 05 INCENTIVE DECIMAL FOR EXP >= 7/1/00,N(NO0403) 05 SEL BLDG AID RATIO FOR EXP >= 7/1/00,O(NO0406) 05 LOW INCOME BLDG AID RATIO >= 7/1/05,"P(MI0014) 00 2003 NEED/RESOURCE CAPACITY CODE, 1-4=HI NEED","Q(NO0407) 05 HNSBAR: HIGH NEED, FOR EXP >= 7/1/05",R(NO0408) 05 INCENTIVE DECIMAL FOR EXP >= 7/1/05,S(NO0409) 05 SEL BLDG AID RATIO FOR EXP >= 7/1/05,T(NO0580) 02 REORG BLDG INCENTVE RATIO(.25 OR .30),U(NO0696) 00 BLDG LEASE EXPENDITURES,V(NO0697) 00 BLDG AMORT-RETRO EXPENDITURES,W(NO0698) 00 BLDG AMORT-PROSP EXPENDITURES,X(NO0695) 00 BLDG AMORT-CAP OUTLAY EXPENDITURES,Y(NO0699) 00 BLDG 2023 DEFERD JULY EXPENDITURES,Z(NO0703) 00 BLDG 2022 DEFERD JULY EXPENDITURES,AA(NO0700) 00 BLDG NYC UNCONFIRMED EXPENDITURES,AB(NO0701) 00 BLDG REFUND/REFIN EXPENDITURES (A.R.),AC(NO0702) 00 BLDG REFUND/REFIN EXPENDITURES (100%),AD(NO0567) 00 BLDG EXPENDITURE FOR 3 CAP OUTLAY EXCEPTIONS,"AE(B10171) 00 BLDG EXPENDITURE FOR METAL DETECTORS,ETC.","AF(NO0386) 05 AID RATIO FOR METAL DETECTORS,ETC. AID",AG(NO0727) 00 BLDG EXP. FOR WATER TESTING,AH(NO0728) 05 AID RATIO FOR WATER TESTING
042801,GOWANDA,1,0,0.824,0.867,0.867,10-11 BLD AR ,0.083,0.950,0.842,0.000,0.100,0.924,0.000,4,0.041,0.100,0.965,0.00,0,0,"2,491,592",0,0,0,0,0,0,"100,000","78,734",0.924,0,0.865
042901,PORTVILLE,1,0,0.843,0.872,0.872,93-94 BLD AR ,0.078,0.950,0.872,0.000,0.100,0.943,0.000,5,0.000,0.100,0.943,0.00,0,0,"2,194,106",0,0,0,0,0,0,"100,000",0,0.943,"10,000",0.843
043001,RANDOLPH,1,0,0.651,0.800,0.800,93-94 BLD AR ,0.100,0.900,0.800,0.000,0.100,0.800,0.000,4,0.035,0.100,0.835,0.00,0,0,"584,936",0,0,0,0,0,0,"99,000",0,0.751,0,0.735
043200,SALAMANCA,1,0,0.910,0.914,0.914,NO DATA      ,0.036,0.950,0.907,0.000,0.040,0.950,0.000,4,0.045,0.025,0.980,0.00,0,0,"1,774,150",0,0,0,0,0,0,0,0,1.000,0,0.955
043501,YORKSHRE-PIONE,1,0,0.744,0.858,0.858,93-94 BLD AR ,0.092,0.950,0.858,0.000,0.100,0.858,0.000,4,0.037,0.100,0.895,0.25,0,0,"6,241,074",0,0,0,0,0,0,0,"35,000",0.844,"12,000",0.795
050100,AUBURN,1,0,0.765,0.815,0.815,93-94 BLD AR ,0.100,0.915,0.815,0.000,0.100,0.865,0.000,5,0.000,0.100,0.865,0.00,0,0,"4,651,898",0,"108,432",0,0,0,0,0,"35,000",0.865,0,0.765
050301,WEEDSPORT,1,0,0.731,0.801,0.801,93-94 BLD AR ,0.100,0.901,0.801,0.000,0.100,0.831,0.000,5,0.000,0.100,0.831,0.00,0,"172,564","2,129,246",0,0,0,0,0,0,"100,000","10,000",0.831,0,0.731
050401,CATO MERIDIAN,1,0,0.763,0.879,0.879,93-94 BLD AR ,0.071,0.950,0.879,0.000,0.100,0.879,0.000,5,0.000,0.100,0.879,0.00,0,0,"1,917,920",0,0,0,0,0,0,"300,000","8,000",0.863,0,0.779
050701,SOUTHERN CAYUG,1,0,0.473,0.812,0.812,93-94 BLD AR ,0.100,0.912,0.812,0.000,0.100,0.812,0.000,5,0.000,0.100,0.812,0.25,0,0,"1,254,236",0,0,0,0,0,0,"100,000",0,0.573,750,0.712
051101,PORT BYRON,1,0,0.765,0.864,0.864,93-94 BLD AR ,0.086,0.950,0.864,0.000,0.100,0.865,0.000,5,0.000,0.100,0.865,0.00,0,0,"1,588,200",0,0,0,0,0,0,"100,000","35,000",0.865,"4,000",0.765
